"Region","SqftEst","SqftMeasure","SqftHeated","CostElec","SqftAirCond","CostNatgas","CostFueloil","CostLPG","CostKero","TypeHome","YearMade","Neighborhood","HHSize","HHIncome","CostTotal"
"South",2550,5440,1088,1497,1805,671,0,0,0,"Single","dec1960","City",2,77500,2168
"Northeast",2200,5164,3499,2162,4764,1965,0,0,0,"Single","pre1950","Suburbs",4,120000,4127
"South",2500,1302,902,1113,902,449,0,0,0,"Single","dec1970","Suburbs",4,57500,1562
"West",1700,2460,2060,1742,2060,515,0,0,0,"Single","dec1980","City",2,77500,2257
"Midwest",,1750,1167,1273,584,1062,0,0,0,"Mobile","dec1980","Suburbs",1,17500,2335
"Midwest",3000,3596,3196,1562,3196,500,0,0,0,"Single","dec2000","Suburbs",6,42500,2062
"West",,1280,1280,551,0,747,0,957,0,"Single","dec1980","City",6,27500,2255
"Midwest",,2060,1810,617,1810,0,0,0,0,"Single","dec1960","Town",1,27500,617
"Midwest",,1058,1058,371,529,0,0,0,0,"Apartment","dec1980","Suburbs",3,8750,371
"Midwest",1800,6138,5738,807,5738,335,0,0,0,"Single","dec2000","Rural",2,72500,1142
"Northeast",2300,5516,2758,1851,1279,0,6292,324,0,"Single","dec1950","Suburbs",4,77500,8467
"Northeast",1300,2460,1601,1075,0,1288,0,0,0,"Single","dec1960","Suburbs",4,120000,2363
"West",1082,1082,1082,916,0,590,0,0,0,"Single","pre1950","Town",3,120000,1506
"South",1988,2500,2100,2525,2100,0,0,0,0,"Single","dec1980","City",4,57500,2525
"Midwest",1600,1460,1460,1403,487,0,0,0,0,"Apartment","dec2000","City",2,57500,1403
"West",1600,1250,1250,1117,1250,673,0,0,0,"Single","dec1960","City",4,52500,1790
"West",,2352,1115,821,0,548,0,0,0,"Single","dec1980","Town",2,110000,1369
"South",2800,7757,5273,2342,7757,0,0,993,0,"Single","dec1990","Rural",2,72500,3335
"West",1200,1397,279,850,838,328,0,0,0,"Single","dec1970","City",2,17500,1178
"Northeast",1736,5208,2170,1816,744,0,1117,2044,0,"Single","dec1960","Town",4,67500,4977
"Northeast",,637,637,414,0,154,0,0,0,"Apartment","pre1950","City",1,8750,568
"Northeast",,5440,4760,1269,5440,0,2136,0,0,"Single","pre1950","City",5,27500,3405
"West",890,830,623,1439,0,0,674,0,0,"Apartment","dec1970","Town",1,22500,2113
"Northeast",1450,4045,2155,737,1156,254,1195,0,0,"Single","pre1950","City",2,110000,2186
"Northeast",200,1216,1216,960,1216,639,0,0,0,"Apartment","pre1950","City",1,110000,1599
"South",500,955,955,650,955,0,0,0,0,"Apartment","dec1990","City",2,8750,650
"Midwest",288,2304,1904,622,1904,0,0,0,0,"Single","dec1980","Town",2,27500,622
"West",1000,594,594,376,0,586,0,0,0,"Apartment","dec1980","Town",4,12500,962
"West",2500,2584,1492,1012,746,517,0,0,0,"Single","dec1980","City",4,120000,1529
"Midwest",,1147,179,456,179,302,0,0,0,"Single","pre1950","City",2,22500,758
"West",,524,0,226,524,168,0,0,0,"Apartment","dec1980","City",2,17500,394
"South",640,552,552,1029,552,0,0,0,0,"Apartment","dec1990","Suburbs",2,12500,1029
"Midwest",,3839,1638,428,3839,819,0,0,0,"Single","dec1950","City",1,37500,1247
"Midwest",2200,2736,2302,793,2336,996,0,0,0,"Single","dec1990","City",3,120000,1789
"Midwest",6300,9243,8593,2079,8593,1933,0,0,0,"Single","dec1990","Suburbs",2,82500,4012
"Northeast",,4450,4050,1245,4050,1621,0,0,0,"Single","dec1950","Town",3,57500,2866
"Midwest",4000,4352,3702,1447,1114,0,0,2833,0,"Single","dec1990","Rural",2,120000,4280
"South",,1186,936,354,375,786,0,0,0,"Single","pre1950","City",1,12500,1140
"Northeast",2700,2080,1633,842,366,699,0,0,0,"Single","dec1970","Rural",2,77500,1541
"South",,524,524,430,131,0,1971,0,0,"Mobile","dec1950","Suburbs",2,37500,2401
"Northeast",5000,3564,668,586,891,0,2494,686,0,"Single","pre1950","Town",3,82500,3766
"South",1634,2123,1723,1258,1723,0,0,0,0,"Single","dec1980","City",3,110000,1258
"Northeast",,430,430,534,0,411,0,0,0,"Apartment","dec1960","Town",1,22500,945
"Midwest",,2704,1127,899,0,1532,0,0,0,"Single","pre1950","City",4,37500,2431
"South",,1584,792,4199,1584,0,0,686,0,"Single","dec1980","City",6,27500,4885
"Northeast",,3221,877,1319,460,0,0,0,0,"Single","dec1960","City",6,6250,1319
"Northeast",,437,437,579,0,501,0,0,0,"Apartment","dec1960","City",1,27500,1080
"West",1350,1352,1352,902,1352,0,0,0,0,"Mobile","dec1990","Town",1,27500,902
"West",2650,2253,1853,1986,1853,0,0,0,0,"Single","dec1980","Suburbs",1,47500,1986
"Northeast",800,1022,1005,2905,1022,624,0,0,0,"Apartment","dec1950","Town",5,97500,3529
"Northeast",1080,2970,2720,2341,2720,0,0,399,0,"Single","dec1980","City",1,12500,2740
"South",1600,2074,1674,2761,1674,0,0,0,0,"Single","dec1980","City",4,47500,2761
"Midwest",,2178,2178,667,1307,1475,0,0,0,"Single","pre1950","City",2,22500,2142
"Northeast",,2574,858,321,0,0,1459,829,0,"Single","pre1950","Suburbs",1,12500,2609
"South",2100,4028,1614,2291,3628,0,0,0,0,"Single","dec1980","City",4,110000,2291
"South",1400,2210,1535,477,1024,807,0,0,0,"Single","pre1950","City",1,120000,1284
"South",2500,5040,2960,1938,4640,497,0,0,0,"Single","dec1990","City",4,110000,2435
"Northeast",1152,5244,3496,1175,5244,1517,0,0,0,"Single","dec1960","Town",3,42500,2692
"Midwest",,550,550,677,0,271,0,0,0,"Apartment","pre1950","Town",2,32500,948
"Midwest",,1508,1258,486,1258,633,0,0,0,"Single","dec1980","City",1,17500,1119
"West",2200,2428,2028,734,0,272,0,0,0,"Single","dec1970","City",3,62500,1006
"Midwest",200,359,359,216,359,318,0,0,0,"Apartment","dec1970","Suburbs",1,6250,534
"Northeast",3000,5936,2960,1317,0,0,2347,126,0,"Single","pre1950","Rural",3,67500,3790
"Northeast",,1406,1406,1739,402,524,1366,0,0,"Apartment","pre1950","City",5,32500,3629
"Midwest",800,660,660,567,660,282,0,0,0,"Single","dec1960","City",2,17500,849
"Midwest",,1585,1085,882,334,844,0,0,0,"Single","dec1980","City",2,110000,1726
"West",600,773,0,867,193,90,0,0,0,"Apartment","dec1970","Town",2,77500,957
"West",,858,858,494,0,0,0,0,0,"Apartment","dec1970","Suburbs",2,37500,494
"Northeast",,666,666,1217,333,330,1975,0,0,"Apartment","pre1950","City",5,8750,3522
"Midwest",1800,4892,4492,2138,4492,0,0,1126,0,"Single","dec1980","Rural",3,97500,3264
"South",,832,832,1113,166,0,0,0,0,"Mobile","dec1970","Rural",2,12500,1113
"South",1000,1843,1843,743,1843,0,0,0,0,"Apartment","dec1970","City",1,32500,743
"South",1200,1296,1296,2607,1296,0,0,425,0,"Single","dec1970","Rural",2,12500,3032
"South",3027,5254,1977,1937,4604,640,0,582,0,"Single","dec2000","Suburbs",2,120000,3159
"West",1300,1739,446,905,0,258,0,0,0,"Single","dec1960","City",4,22500,1163
"Northeast",1300,1847,1287,791,616,2763,0,0,0,"Single","pre1950","City",3,3750,3554
"Midwest",1600,3714,3714,943,3064,972,0,0,0,"Single","dec1990","Suburbs",4,87500,1915
"South",1000,2430,2430,646,2430,944,0,0,0,"Single","dec1950","Suburbs",3,120000,1590
"Northeast",2300,5772,5522,1431,5522,0,0,2343,0,"Single","dec2000","Rural",4,110000,3774
"South",4600,8906,5816,2242,8256,1385,0,337,0,"Single","dec1990","Suburbs",4,120000,3964
"West",,4170,1223,571,0,533,0,0,0,"Single","pre1950","City",1,27500,1104
"South",1584,704,141,1891,282,345,0,0,0,"Single","dec1960","City",6,57500,2236
"South",,1653,1128,481,551,1663,0,0,0,"Single","dec1960","City",3,32500,2144
"Midwest",400,568,568,413,568,390,0,0,0,"Apartment","dec1980","City",1,37500,803
"West",2400,2636,1917,2181,1030,620,0,0,0,"Single","dec1990","Suburbs",2,87500,2801
"West",1500,2898,450,351,0,468,0,0,0,"Single","dec1950","Town",1,12500,819
"Midwest",1800,1885,1885,826,1885,1075,0,0,0,"Single","pre1950","Suburbs",6,22500,1901
"South",3000,8316,5144,1299,7916,50,0,0,0,"Single","dec1990","Suburbs",2,120000,1349
"Midwest",,2268,1134,236,454,994,0,0,0,"Single","dec1950","City",1,3750,1230
"Midwest",,4000,1600,700,3600,890,0,0,0,"Single","pre1950","Suburbs",1,6250,1590
"Northeast",3500,8468,6351,1185,0,0,5772,0,0,"Single","pre1950","Town",5,120000,6957
"Midwest",1920,1946,1946,857,162,871,0,0,0,"Single","dec1970","Town",2,72500,1728
"Northeast",,1528,1048,293,255,0,1968,0,0,"Single","pre1950","City",1,37500,2261
"West",765,840,672,1348,0,0,0,0,0,"Mobile","dec1970","City",1,6250,1348
"West",2600,5043,4586,1323,0,0,0,0,0,"Single","dec1980","Town",2,62500,1323
"Northeast",2200,2726,1851,803,2726,994,0,0,0,"Single","dec1990","Suburbs",3,72500,1797
"South",600,832,832,1797,832,0,0,0,0,"Apartment","dec1960","City",2,12500,1797
"Midwest",1784,4719,4319,351,4319,674,0,0,0,"Single","dec1980","Rural",1,47500,1025
"Midwest",,2838,946,858,811,1002,0,0,0,"Single","pre1950","City",2,67500,1860
"West",900,793,793,514,793,295,0,0,0,"Single","pre1950","Town",2,12500,809
"Northeast",1300,3750,2250,838,3500,0,942,0,0,"Single","dec1950","Town",2,37500,1780
"Midwest",,4114,3134,691,4114,2159,0,0,0,"Single","pre1950","Suburbs",2,22500,2850
"West",500,651,326,476,0,783,0,0,0,"Apartment","pre1950","City",6,22500,1259
"Northeast",1000,1437,1437,806,411,480,0,0,0,"Apartment","dec1960","City",8,8750,1286
"South",2800,2759,2359,1873,2359,0,0,0,0,"Single","dec1950","City",6,52500,1873
"West",4000,3507,0,2739,982,1093,0,0,0,"Single","dec1990","City",4,120000,3832
"South",,1300,1300,601,1300,878,0,0,0,"Single","dec1980","City",1,6250,1479
"West",,1127,1127,233,1127,307,0,0,0,"Mobile","dec1970","City",2,17500,540
"West",,613,0,198,0,128,0,0,0,"Single","dec1950","City",4,12500,326
"Northeast",,2770,1418,1110,0,0,2828,0,0,"Single","dec1990","Rural",3,42500,3938
"West",1670,3838,978,1346,1155,565,0,0,0,"Single","dec1950","Suburbs",1,27500,1911
"Northeast",2500,3312,1520,2028,2912,1589,0,0,0,"Single","dec1990","Suburbs",5,120000,3617
"West",1800,2108,1708,1832,1708,0,0,0,0,"Single","dec1980","Rural",2,110000,1832
"South",6350,8736,5902,2598,8086,266,0,0,0,"Single","dec1990","Rural",2,120000,2864
"South",,1848,1848,1329,869,0,0,1033,0,"Single","dec1960","Rural",6,37500,2362
"South",,866,866,957,650,42,552,0,0,"Apartment","dec1970","City",4,47500,1551
"Northeast",2000,5208,3222,1097,4958,1745,0,0,0,"Single","dec1970","Town",2,42500,2842
"Northeast",200,8990,6743,2023,1124,0,2290,0,0,"Single","pre1950","Rural",2,12500,4313
"West",,650,650,435,0,426,0,0,0,"Apartment","dec1960","City",3,22500,861
"Northeast",,4084,2636,1062,1815,629,0,0,0,"Single","pre1950","Town",4,12500,1691
"West",900,1904,952,1070,0,265,0,0,0,"Single","dec1950","Rural",4,22500,1335
"Midwest",800,4230,1410,1181,4230,986,0,0,0,"Single","pre1950","Suburbs",4,22500,2167
"Midwest",,5952,3472,1034,1715,849,0,0,0,"Single","dec1950","Town",2,32500,1883
"South",400,460,460,551,307,0,0,0,80,"Mobile","pre1950","City",1,1250,631
"South",2200,1824,912,691,1824,210,0,0,0,"Single","dec1980","City",1,42500,901
"West",,1008,1008,306,0,0,0,666,0,"Mobile","dec1960","City",2,12500,972
"South",1900,4692,1946,1883,4292,0,0,811,0,"Single","dec1980","Rural",4,67500,2694
"Northeast",1300,3530,2430,1150,0,667,0,0,0,"Single","pre1950","City",3,22500,1817
"South",,455,455,678,455,0,0,0,0,"Apartment","dec1970","City",3,62500,678
"South",1652,2695,1670,888,1155,1431,0,0,0,"Single","pre1950","City",2,32500,2319
"Northeast",,2692,1828,656,1346,2016,0,0,0,"Single","pre1950","City",1,52500,2672
"South",1517,4200,1700,2100,3800,0,0,0,0,"Single","dec1990","City",1,37500,2100
"West",1800,1606,1606,899,0,0,0,620,0,"Single","dec1990","Rural",1,77500,1519
"West",1900,2177,2177,592,0,571,0,0,0,"Single","dec1950","Suburbs",2,120000,1163
"Northeast",1500,2116,1716,902,1716,1046,0,0,0,"Single","dec1980","Town",2,47500,1948
"South",,1430,1430,1490,1430,0,0,0,0,"Single","dec1990","Rural",2,22500,1490
"Midwest",,2832,0,292,1416,285,0,829,0,"Apartment","pre1950","City",1,17500,1406
"South",,5600,4100,1248,5600,1045,0,0,0,"Single","pre1950","City",1,22500,2293
"West",530,530,530,1337,177,0,0,0,0,"Mobile","dec1980","City",2,12500,1337
"Midwest",,591,591,320,591,696,0,0,0,"Apartment","dec1960","City",1,8750,1016
"Northeast",,2470,2058,550,706,2004,0,0,0,"Single","pre1950","Suburbs",2,42500,2554
"Midwest",,990,990,593,198,996,0,0,0,"Apartment","dec1970","City",4,22500,1589
"West",2200,1745,1745,2085,1745,621,0,0,0,"Single","dec1970","City",5,42500,2706
"South",4200,4976,3224,2511,4576,0,0,878,0,"Single","dec1990","Rural",4,120000,3389
"South",1600,1672,1422,2225,1422,0,0,0,0,"Single","dec1970","Town",4,37500,2225
"Midwest",850,1800,1800,973,1800,1096,0,0,0,"Single","dec1950","City",1,110000,2069
"South",1600,1248,312,1646,1248,0,0,557,0,"Mobile","dec1990","Rural",2,17500,2203
"West",,1216,811,746,0,0,0,1809,0,"Single","pre1950","Rural",2,37500,2555
"West",5200,7560,6910,1030,6910,1124,0,0,0,"Single","dec1990","Suburbs",2,120000,2154
"West",1250,3881,2829,1152,3481,827,0,0,0,"Single","dec1990","Suburbs",3,72500,1979
"Northeast",1440,3842,2778,1012,638,0,1353,0,0,"Single","dec2000","Town",4,47500,2365
"South",450,2376,1366,586,475,0,0,0,465,"Single","dec1970","Rural",1,22500,1051
"South",3700,5374,3316,2857,4974,0,0,0,0,"Single","dec1980","Suburbs",3,120000,2857
"Midwest",1100,1812,1812,742,1812,914,0,0,0,"Single","pre1950","City",3,47500,1656
"Northeast",,2184,1456,276,364,2332,0,0,0,"Single","pre1950","City",1,17500,2608
"Northeast",,666,666,803,222,0,0,0,0,"Apartment","dec1960","Suburbs",1,27500,803
"West",1580,1624,1624,563,696,486,0,0,0,"Mobile","dec1990","City",1,62500,1049
"Northeast",2200,4352,2176,788,0,568,824,0,0,"Single","pre1950","Town",3,87500,2180
"West",1800,3100,2700,929,2700,491,0,0,0,"Single","dec2000","Town",2,110000,1420
"Midwest",900,900,900,274,900,692,0,0,0,"Single","dec1980","Suburbs",1,6250,966
"South",,1650,1062,693,330,1091,0,0,0,"Single","pre1950","City",2,12500,1784
"Midwest",981,1800,1800,758,1800,402,0,0,0,"Single","dec1960","City",3,37500,1160
"Northeast",,3153,1669,1026,0,532,0,0,0,"Single","dec1980","Town",7,110000,1558
"Northeast",1600,3362,2309,1424,3362,1658,0,0,0,"Single","dec1950","Town",2,27500,3082
"Midwest",900,2297,1177,1444,919,485,0,0,0,"Single","dec1950","City",4,17500,1929
"South",2500,4998,2932,2599,4598,801,0,0,0,"Single","dec1990","Suburbs",6,120000,3400
"Midwest",,2268,2268,1081,0,0,0,879,0,"Single","pre1950","Rural",3,120000,1960
"Midwest",900,1068,1068,545,1068,879,0,0,0,"Single","dec1960","City",3,42500,1424
"South",400,727,727,1036,485,0,0,0,0,"Apartment","dec1950","City",1,17500,1036
"South",2400,5640,2420,715,5240,891,0,0,0,"Single","dec2000","Rural",3,37500,1606
"South",1650,2012,755,854,713,0,0,0,0,"Single","dec1960","City",1,8750,854
"Midwest",800,720,720,1044,273,0,0,0,0,"Mobile","dec1980","City",3,52500,1044
"Northeast",,3023,1539,964,605,2331,0,0,0,"Single","pre1950","City",3,12500,3295
"Midwest",4500,5952,2976,1971,5952,1583,0,433,0,"Single","pre1950","Town",2,120000,3987
"South",,1000,1000,1003,1000,0,0,579,0,"Single","dec1950","Rural",1,6250,1582
"South",,1669,1113,1253,693,1077,0,0,0,"Single","pre1950","Suburbs",3,52500,2330
"South",750,680,430,1189,430,0,0,0,0,"Single","dec1950","Rural",2,12500,1189
"West",1100,1240,1240,871,1240,485,0,0,0,"Apartment","dec1970","City",3,42500,1356
"Northeast",1400,7200,5400,3491,800,0,1303,0,0,"Single","dec1970","Suburbs",4,57500,4794
"South",900,780,780,1100,780,0,0,0,0,"Mobile","dec1970","Rural",4,17500,1100
"Northeast",1400,6360,3816,863,0,0,315,0,0,"Single","pre1950","Rural",1,1250,1178
"Midwest",2800,9200,6350,1541,8550,1149,0,0,0,"Single","dec2000","Suburbs",4,57500,2690
"South",,4545,2925,1616,4545,0,1329,0,0,"Single","dec1950","Rural",3,32500,2945
"West",2400,1212,812,358,0,437,0,0,0,"Single","dec1950","City",4,72500,795
"Northeast",700,775,775,572,775,623,0,0,0,"Apartment","dec1980","Town",2,27500,1195
"West",2100,2726,1329,694,0,430,0,0,0,"Single","dec1950","Suburbs",2,37500,1124
"West",2200,2826,2426,1390,938,158,0,0,0,"Single","dec1980","Suburbs",1,97500,1548
"South",,2032,2032,1893,2032,0,0,1327,0,"Mobile","dec1980","Rural",2,77500,3220
"Northeast",800,3493,2698,788,1164,2490,0,0,0,"Single","dec1950","City",4,22500,3278
"Midwest",1200,3525,1637,1320,3525,621,0,334,0,"Single","pre1950","Town",5,42500,2275
"South",1100,1966,1966,955,1966,0,0,0,0,"Single","dec1980","Town",2,72500,955
"South",,935,701,1358,467,0,0,0,0,"Apartment","dec1960","Suburbs",3,52500,1358
"South",1000,3120,1783,1559,0,0,0,0,0,"Single","dec1970","Rural",2,17500,1559
"Midwest",999,1422,1172,1950,167,0,0,0,0,"Single","dec1970","City",1,17500,1950
"West",1450,2866,2160,461,2466,433,0,0,0,"Single","dec2000","Town",4,32500,894
"South",,999,999,243,0,868,0,0,0,"Apartment","dec1950","City",1,6250,1111
"West",1440,1440,1440,1521,0,0,0,0,0,"Mobile","dec1980","Town",3,17500,1521
"Northeast",,4212,2558,525,1321,1689,0,0,0,"Single","dec1990","Town",1,8750,2214
"Midwest",1300,4140,1088,456,0,0,0,967,0,"Single","pre1950","Rural",2,32500,1423
"Midwest",,1120,1120,1237,1120,0,0,0,0,"Single","pre1950","Town",2,32500,1237
"Midwest",4000,4096,3403,2382,3446,1939,0,0,0,"Single","dec1960","Town",2,120000,4321
"West",1350,1013,613,1695,613,0,0,0,0,"Single","dec1990","City",3,52500,1695
"Northeast",550,849,849,259,212,195,752,0,0,"Apartment","dec1950","City",1,6250,1206
"South",1800,4590,1895,1468,4190,500,0,0,0,"Single","dec1980","Suburbs",1,57500,1968
"South",1700,2302,1902,2504,1902,333,0,0,0,"Single","dec1970","Town",4,62500,2837
"Northeast",900,720,540,453,180,0,748,0,0,"Mobile","dec1970","Rural",2,27500,1201
"Northeast",600,4896,3672,672,1549,1113,0,0,0,"Single","dec1950","City",5,77500,1785
"Midwest",6000,6206,5967,1657,5556,50,0,2006,0,"Single","dec2000","Rural",1,120000,3713
"South",,938,657,1097,188,0,0,1147,0,"Mobile","dec1980","Rural",3,12500,2244
"Midwest",1000,1824,1140,422,365,11,1462,0,0,"Single","dec1950","City",1,17500,1895
"West",,3698,3698,834,0,1425,0,0,0,"Single","pre1950","Rural",2,52500,2259
"Northeast",,1800,1284,1166,1800,386,0,0,0,"Single","dec1980","Town",7,27500,1552
"South",1800,1485,1235,1758,1235,0,0,0,0,"Single","dec1950","City",2,47500,1758
"Northeast",800,1842,968,796,1842,0,0,0,0,"Single","dec1960","Suburbs",1,12500,796
"Northeast",,2376,1584,842,950,455,0,0,0,"Single","dec1990","Town",3,47500,1297
"Northeast",700,756,756,308,252,1114,0,0,0,"Single","dec1980","City",1,17500,1422
"Northeast",,1696,1296,2220,741,1852,0,0,0,"Single","pre1950","Suburbs",4,82500,4072
"Northeast",,3978,2262,921,0,0,2060,0,0,"Single","pre1950","Town",2,12500,2981
"Midwest",1078,1078,647,594,0,0,0,525,0,"Mobile","dec1980","Rural",2,37500,1119
"Northeast",3400,5152,3100,2013,4752,2313,0,0,0,"Single","dec1960","Suburbs",3,120000,4326
"South",,1751,1501,57,0,0,0,0,0,"Single","dec1960","City",5,37500,57
"Midwest",2000,2784,2134,1819,2134,0,0,0,0,"Single","dec1990","Rural",3,87500,1819
"West",1600,2264,1864,772,1864,644,0,0,0,"Single","dec1980","Suburbs",5,87500,1416
"South",,1288,1288,397,1288,0,0,0,0,"Apartment","dec1980","City",1,12500,397
"Northeast",300,543,543,465,543,0,0,0,0,"Apartment","pre1950","Town",1,6250,465
"West",900,1344,1094,433,0,551,0,0,0,"Single","dec1980","City",2,12500,984
"South",1300,3864,1532,962,3464,0,0,0,0,"Single","dec2000","Rural",2,57500,962
"South",2680,2756,2756,2005,987,0,0,0,0,"Single","dec1960","Suburbs",3,92500,2005
"Northeast",840,1106,1106,243,0,290,0,0,0,"Apartment","dec1980","Suburbs",1,27500,533
"South",2600,2970,2570,3439,2570,0,0,0,0,"Single","dec1970","Rural",2,62500,3439
"South",820,1032,782,1015,782,0,0,0,0,"Single","dec1990","Suburbs",1,67500,1015
"South",1928,5440,2320,1366,5040,0,0,0,0,"Single","dec1990","Rural",2,37500,1366
"Northeast",3000,2875,2475,2258,923,0,1378,406,0,"Single","dec1970","Town",5,37500,4042
"South",,991,991,603,397,0,0,0,0,"Apartment","dec1980","City",4,3750,603
"South",600,1300,1300,1944,1300,0,0,0,0,"Single","dec1990","City",5,62500,1944
"Midwest",2400,4050,3650,828,1255,1160,0,0,0,"Single","dec1990","Suburbs",3,120000,1988
"Northeast",1600,5084,2142,2843,4684,0,0,1617,0,"Single","dec1970","Rural",2,22500,4460
"South",780,672,672,518,168,505,0,0,0,"Mobile","dec1970","City",1,6250,1023
"Northeast",1100,2376,990,539,0,809,0,0,0,"Single","dec1980","City",1,47500,1348
"Midwest",1300,1583,408,588,1583,581,0,0,0,"Single","dec1960","City",3,17500,1169
"West",3000,9120,6190,1708,8470,908,0,0,0,"Single","dec1970","Suburbs",4,87500,2616
"South",,893,893,229,446,217,0,0,0,"Apartment","dec2000","City",4,6250,446
"South",700,580,580,269,580,529,0,0,0,"Apartment","dec1990","City",1,22500,798
"South",1800,2268,1868,1292,1868,0,0,0,0,"Single","dec1980","Suburbs",2,27500,1292
"South",1500,1680,672,1019,627,566,0,0,0,"Single","dec1970","City",2,57500,1585
"South",800,747,747,802,187,0,0,0,0,"Apartment","dec1970","City",2,12500,802
"Northeast",950,2175,1450,1719,2175,0,881,0,0,"Single","pre1950","Town",1,67500,2600
"Northeast",1000,1650,1100,521,550,1050,0,0,0,"Single","pre1950","Town",5,6250,1571
"Midwest",1800,6903,4352,1861,832,0,0,1083,0,"Single","pre1950","Rural",3,27500,2944
"Northeast",2200,3152,2727,1214,2752,1387,0,0,0,"Single","dec2000","Suburbs",3,57500,2601
"Midwest",,2970,1235,1176,0,284,0,0,0,"Single","dec1980","City",5,42500,1460
"Midwest",,2112,1712,485,428,0,0,0,0,"Single","dec2000","City",2,120000,485
"Midwest",2200,2280,1710,1035,2280,856,0,0,0,"Single","dec1990","Town",5,37500,1891
"West",2100,1920,1920,1748,1920,662,0,0,0,"Single","dec1950","City",5,120000,2410
"Midwest",,1451,1082,774,580,1537,0,0,0,"Single","pre1950","City",3,8750,2311
"South",,1295,1215,665,1295,957,0,0,0,"Single","dec1960","Town",5,27500,1622
"Northeast",,1910,1302,334,1910,1226,0,0,0,"Single","dec1970","City",4,120000,1560
"Northeast",1500,3456,2016,2377,691,0,1321,0,0,"Single","dec1970","Rural",3,22500,3698
"West",2200,2882,2482,1276,2482,582,0,0,0,"Single","dec1980","Town",2,47500,1858
"South",1300,1890,1640,670,1640,0,0,0,0,"Single","dec1970","City",2,42500,670
"West",1550,2540,2140,407,2140,229,0,0,0,"Single","dec1950","Suburbs",1,72500,636
"Northeast",2300,1296,896,1346,384,0,1935,2161,0,"Single","dec1950","Rural",4,32500,5442
"West",1800,2000,1600,640,1600,556,0,0,0,"Single","dec2000","Town",2,32500,1196
"West",1000,1311,1061,939,396,719,0,0,0,"Single","dec1970","City",1,62500,1658
"West",1400,2880,2240,800,0,666,0,0,0,"Single","dec1970","Rural",2,32500,1466
"Northeast",,3975,2617,1707,1988,0,1840,0,0,"Single","pre1950","City",4,120000,3547
"West",500,581,0,342,0,0,0,0,0,"Apartment","dec1970","City",1,1250,342
"Midwest",,1860,1845,139,0,623,0,0,0,"Single","pre1950","City",1,32500,762
"Midwest",1200,1053,1053,263,176,1018,0,0,0,"Single","dec1970","Suburbs",1,27500,1281
"South",,888,888,339,888,403,0,0,0,"Apartment","dec1970","Suburbs",2,32500,742
"Northeast",,2256,1176,524,2256,647,0,0,0,"Single","dec1950","City",3,12500,1171
"West",1800,1412,1412,604,0,1528,0,0,0,"Single","dec1960","City",2,110000,2132
"Northeast",3500,2922,2272,1826,852,0,2065,324,0,"Single","dec1990","City",4,92500,4215
"West",,1520,847,1918,451,687,0,0,0,"Single","pre1950","Suburbs",3,82500,2605
"South",320,416,416,584,139,0,0,0,0,"Apartment","dec1970","City",1,12500,584
"Midwest",,1414,560,320,0,1434,0,0,0,"Single","pre1950","City",5,52500,1754
